,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
151,TTR24715995624124000,862.298908,-6.18582,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
152,TTR28089056972052000,134.1827393,-0.11819,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
153,TTR24136015436068000,1057.823976,-7.8152,,0,ROADWORKS,0.6,FRC4,0.6,53,1,-1
155,TTR24987225260021000,787.4926699,-5.56244,,0,CLOSURE,1,FRC5,0.5,0,0,-1
156,TTR21527655404100001,1626.087441,-12.55073,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
157,TTR23160797964013000,1197.210996,-8.97676,,0,CLOSURE,1,FRC5,0.5,0,0,-1
159,TTR27113822380010000,253.4370582,-1.11198,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
160,TTL24629433492020015_2,883.4331509,-6.36194,,0,JAM_CONDITIONAL,0.9,FRC4,0.6,126,1,-1
162,TTR21951813132068000,1511.52161,-11.59601,,0,CLOSURE,1,FRC4,0.6,0,0,-1
164,TTR24404364000054001,968.8289249,-7.07357,,0,CLOSURE,1,FRC6,0.4,0,0,-1
165,TTR28083286584380000,128.7691557,-0.07308,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
166,TTR23022311852021001,1227.562944,-9.22969,,0,ROADWORKS,0.6,FRC5,0.5,0,0,-1
167,TTW21591108528000039,1655.107422,-12.79256,,0,JAM_TAIL_WARNING,0.9,FRC0,1,0,0,-1
168,TTR25013194180014001,779.35152,-5.4946,,0,CLOSURE,1,FRC6,0.4,0,0,-1
169,TTL28741164404051009_3,290.5070385,-1.42089,,0,JAM_CONDITIONAL,0.9,FRC3,0.7,157,1,-1
170,TTR28778676156021000,300.1751115,-1.50146,,0,CLOSURE,1,FRC5,0.5,0,0,-1
171,TTR24413020460044000,965.0839538,-7.04237,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
172,TTR28821950784007001,317.693209,-1.64744,,0,CLOSURE,1,FRC7,0.3,0,0,-1
174,TTR28340105168072001,199.9296354,-0.66608,,0,HAZARD,1,FRC0,1,0,0,-1
175,TTR23599350108116000,1131.135036,-8.42613,,0,CLOSURE,1,FRC4,0.6,0,0,-1
