,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
2982,TTL41120197496001008,True,438.8831378173082,-2.65736,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,100,0.1,-100.0
2983,TTL36128415332019009,True,234.9432471650308,-0.95786,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,169,0.1,-100.0
2984,TTR38886866592015002,False,423.86154904452115,-2.53218,0.0,ROADWORKS,0.6,FRC7,0.3,-100,0,-0.326436
2985,TTL40987457232018000,True,529.2980240899935,-3.41082,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,199,0.1,-100.0
2986,TTL38399235624011000,True,304.2314986348763,-1.53526,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,141,0.1,-100.0
2987,TTL38076085120018024_2,False,48.30929439102638,0.59742,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,284,0.1,0.4794840000000001
2988,TTL38575256076017002,True,145.66889447163408,-0.21391,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,187,0.1,-100.0
2989,TTR40618134024009001,True,378.62864127511625,-2.15524,0.0,TRAFFIC_RESTRICTION,0.6,FRC1,0.9,-100,0,-100.0
2990,TTR37859651232022000,False,489.1361227771132,-3.07613,0.0,CLOSURE,1,FRC6,0.4,,1,-0.135226
2991,TTR38866668712147001,False,420.35008667050386,-2.50292,0.0,ROADWORKS,0.6,FRC3,0.7,205,0.1,-0.22058400000000006
2992,TTR38592568140022000,False,152.2901807021811,-0.26908,0.0,CLOSURE,1,FRC6,0.4,,1,0.426184
2993,TTR37851020148022000,False,5.990286419377544,0.95008,0.5,CLOSURE,1,FRC6,0.4,,1,0.770016
2994,TTR37851020148022001,False,5.882439443737083,0.95098,0.5,CLOSURE,1,FRC6,0.4,,1,0.770196
2995,TTL40886472492011000,True,463.06726961441126,-2.85889,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,151,0.1,-100.0
2996,TTL36422721300017001,True,317.69814921998915,-1.64748,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,46,0.1,-100.0
2997,TTR38892651936028000,False,184.04774371525508,-0.53373,0.0,CLOSURE,1,FRC4,0.6,,1,0.413254
2998,TTL39212914276026001_2,True,525.2954169129496,-3.37746,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,159,0.1,-100.0
2999,TTL37833707716005000,False,3.7974916153528953,0.96835,1.0,JAM_UNCONDITIONAL,0.9,FRC5,0.5,153,0.1,0.69367
